,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
10,endemic treponematosis,endemic treponematoses rarely reported since eradication campaign disease primarily afflicts children tropical subtropical areas endemic syphilis generally affects individuals hot arid climates yaws affects hot humid areas pinta found central south america reported 40 years yaws also rare currentlyis reported foci west africa indonesia,similar syphilis clinical manifestations classified early late stages earlystage lesions generally infectious may last 5 years periods latency disease relapsing clinical course mainly skin manifestations,direct transmission via skin skin oral contact also via sharing drinking eating utensils,treponema pallidum ssp endemicum bejel pallidom ssp pertenue yaws carateum pinta spirochetes,endemic syphilis yaws 2 weeks 3 months pinta 18 weeks,serology definitively diagnosis pcr sequencing,"['endemic', 'treponematoses', 'rarely', 'reported', 'since', 'eradication', 'campaign', 'disease', 'primarily', 'afflicts', 'children', 'tropical', 'subtropical', 'areas', 'endemic', 'syphilis', 'generally', 'affects', 'individuals', 'hot', 'arid', 'climates', 'yaws', 'affects', 'hot', 'humid', 'areas', 'pinta', 'found', 'central', 'south', 'america', 'reported', '40', 'years', 'yaws', 'also', 'rare', 'currentlyis', 'reported', 'foci', 'west', 'africa', 'indonesia']","[('endemic', 'JJ'), ('treponematoses', 'NNS'), ('rarely', 'RB'), ('reported', 'VBD'), ('since', 'IN'), ('eradication', 'NN'), ('campaign', 'NN'), ('disease', 'NN'), ('primarily', 'RB'), ('afflicts', 'VBZ'), ('children', 'NNS'), ('tropical', 'JJ'), ('subtropical', 'JJ'), ('areas', 'NNS'), ('endemic', 'VBP'), ('syphilis', 'NNS'), ('generally', 'RB'), ('affects', 'VBZ'), ('individuals', 'NNS'), ('hot', 'JJ'), ('arid', 'JJ'), ('climates', 'NNS'), ('yaws', 'VBP'), ('affects', 'NNS'), ('hot', 'JJ'), ('humid', 'JJ'), ('areas', 'NNS'), ('pinta', 'VBP'), ('found', 'JJ'), ('central', 'JJ'), ('south', 'NN'), ('america', 'NN'), ('reported', 'VBD'), ('40', 'CD'), ('years', 'NNS'), ('yaws', 'RB'), ('also', 'RB'), ('rare', 'JJ'), ('currentlyis', 'NN'), ('reported', 'VBD'), ('foci', 'JJ'), ('west', 'NN'), ('africa', 'NN'), ('indonesia', 'NN')]","[Synset('endemic.a.01'), None, Synset('rarely.r.01'), Synset('report.v.01'), None, Synset('eradication.n.01'), Synset('political_campaign.n.01'), Synset('disease.n.01'), Synset('chiefly.r.01'), Synset('afflict.v.01'), Synset('child.n.01'), Synset('tropical.s.01'), Synset('subtropical.a.01'), Synset('area.n.01'), None, Synset('syphilis.n.01'), Synset('by_and_large.r.01'), Synset('affect.v.01'), Synset('person.n.01'), Synset('hot.a.01'), Synset('arid.s.01'), Synset('climate.n.01'), Synset('gape.v.02'), Synset('affect.n.01'), Synset('hot.a.01'), Synset('humid.s.01'), Synset('area.n.01'), None, Synset('found.a.01'), Synset('cardinal.s.01'), Synset('south.n.01'), Synset('united_states.n.01'), Synset('report.v.01'), None, Synset('old_age.n.01'), None, Synset('besides.r.02'), Synset('rare.s.01'), None, Synset('report.v.01'), None, Synset('west.n.01'), Synset('africa.n.01'), Synset('indonesia.n.01')]"
11,haemophilus influenzae type b,absence vaccination hib commonly carried nose throats healthy individuals almost children exposed hib age 5 developed countries prior immunization hib commonest cause bacterial meningitis young children countries high vaccination coverage hib almost eliminated public health problem 2000 hib estimated caused around 8 million cases severe invasive disease 360000 deaths children 5 years age,pneumonia due hib clinically indistinguishable causes bacterial pneumonia hib meningitis may present acutely subacutely fever vomiting lethargy irritability bulging fontanelle infants stiff neck older children infections soft tissue bones joints h influenzae may occur,hib transmitted person person via airborne droplets direct contact respiratory secretions,haemophilus influenzae,approximately 2–4 days,gram stain culture csf blood synovial fluid capsular polysaccharide antigen detection latex agglutination techniques pcr normally sterile site,"['absence', 'vaccination', 'hib', 'commonly', 'carried', 'nose', 'throats', 'healthy', 'individuals', 'almost', 'children', 'exposed', 'hib', 'age', '5', 'developed', 'countries', 'prior', 'immunization', 'hib', 'commonest', 'cause', 'bacterial', 'meningitis', 'young', 'children', 'countries', 'high', 'vaccination', 'coverage', 'hib', 'almost', 'eliminated', 'public', 'health', 'problem', '2000', 'hib', 'estimated', 'caused', 'around', '8', 'million', 'cases', 'severe', 'invasive', 'disease', '360000', 'deaths', 'children', '5', 'years', 'age']","[('absence', 'NN'), ('vaccination', 'NN'), ('hib', 'NN'), ('commonly', 'RB'), ('carried', 'VBD'), ('nose', 'JJ'), ('throats', 'NNS'), ('healthy', 'JJ'), ('individuals', 'NNS'), ('almost', 'RB'), ('children', 'NNS'), ('exposed', 'VBD'), ('hib', 'JJ'), ('age', 'NN'), ('5', 'CD'), ('developed', 'JJ'), ('countries', 'NNS'), ('prior', 'JJ'), ('immunization', 'NN'), ('hib', 'NN'), ('commonest', 'NN'), ('cause', 'NN'), ('bacterial', 'JJ'), ('meningitis', 'NN'), ('young', 'JJ'), ('children', 'NNS'), ('countries', 'NNS'), ('high', 'JJ'), ('vaccination', 'NN'), ('coverage', 'NN'), ('hib', 'NN'), ('almost', 'RB'), ('eliminated', 'VBN'), ('public', 'JJ'), ('health', 'NN'), ('problem', 'NN'), ('2000', 'CD'), ('hib', 'NN'), ('estimated', 'VBD'), ('caused', 'VBN'), ('around', 'IN'), ('8', 'CD'), ('million', 'CD'), ('cases', 'NNS'), ('severe', 'JJ'), ('invasive', 'JJ'), ('disease', 'NN'), ('360000', 'CD'), ('deaths', 'NNS'), ('children', 'NNS'), ('5', 'CD'), ('years', 'NNS'), ('age', 'NN')]","[Synset('absence.n.01'), Synset('inoculation.n.01'), None, Synset('normally.r.01'), Synset('transport.v.02'), None, Synset('throat.n.01'), Synset('healthy.a.01'), Synset('person.n.01'), Synset('about.r.07'), Synset('child.n.01'), Synset('expose.v.01'), None, Synset('age.n.01'), None, Synset('developed.a.01'), Synset('state.n.04'), Synset('anterior.s.02'), Synset('immunization.n.01'), None, None, Synset('cause.n.01'), Synset('bacterial.a.01'), Synset('meningitis.n.01'), Synset('young.a.01'), Synset('child.n.01'), Synset('state.n.04'), Synset('high.a.01'), Synset('inoculation.n.01'), Synset('coverage.n.01'), None, Synset('about.r.07'), Synset('extinguish.v.04'), Synset('public.a.01'), Synset('health.n.01'), Synset('problem.n.01'), None, None, Synset('estimate.v.01'), Synset('cause.v.01'), None, None, None, Synset('case.n.01'), Synset('severe.s.01'), Synset('invasive.a.01'), Synset('disease.n.01'), None, Synset('death.n.01'), Synset('child.n.01'), None, Synset('old_age.n.01'), Synset('age.n.01')]"
12,leprosy,disease thought originated tropics subtropics africa asia india new cases 2008 134000 followed brazil 39000 indonesia 17000 foci brazil found amazonian jungle also arid areas poverty crowded dwellings important risk factors,disease mainly affects skin peripheral nerves mucosa upper respiratory tract eyes patients classified either pl ml pl milder characterized 5 skin patches lesions,probably aerosol spread nasal secretions case respiratory mucosa close contacts,mycobacterium leprae,3 5 years range 9months 20 years shorter pl ml,histology gold standard leprae cannot cultured vitro,"['disease', 'thought', 'originated', 'tropics', 'subtropics', 'africa', 'asia', 'india', 'new', 'cases', '2008', '134000', 'followed', 'brazil', '39000', 'indonesia', '17000', 'foci', 'brazil', 'found', 'amazonian', 'jungle', 'also', 'arid', 'areas', 'poverty', 'crowded', 'dwellings', 'important', 'risk', 'factors']","[('disease', 'NN'), ('thought', 'VBD'), ('originated', 'VBN'), ('tropics', 'NNS'), ('subtropics', 'NNS'), ('africa', 'VBP'), ('asia', 'IN'), ('india', 'JJ'), ('new', 'JJ'), ('cases', 'NNS'), ('2008', 'CD'), ('134000', 'CD'), ('followed', 'VBD'), ('brazil', 'JJ'), ('39000', 'CD'), ('indonesia', 'NN'), ('17000', 'CD'), ('foci', 'NN'), ('brazil', 'NN'), ('found', 'VBD'), ('amazonian', 'JJ'), ('jungle', 'NN'), ('also', 'RB'), ('arid', 'JJ'), ('areas', 'NNS'), ('poverty', 'NN'), ('crowded', 'VBD'), ('dwellings', 'NNS'), ('important', 'JJ'), ('risk', 'NN'), ('factors', 'NNS')]","[Synset('disease.n.01'), Synset('think.v.01'), Synset('originate.v.01'), Synset('torrid_zone.n.01'), Synset('subtropics.n.01'), None, None, None, Synset('new.a.01'), Synset('case.n.01'), None, None, Synset('follow.v.01'), None, None, Synset('indonesia.n.01'), None, Synset('focus.n.01'), Synset('brazil.n.01'), Synset('establish.v.01'), None, Synset('jungle.n.01'), Synset('besides.r.02'), Synset('arid.s.01'), Synset('area.n.01'), Synset('poverty.n.01'), Synset('herd.v.01'), Synset('dwelling.n.01'), Synset('important.a.01'), Synset('hazard.n.01'), Synset('factor.n.01')]"
13,leptospirosis,leptospirosis worldwide distribution common tropical regions foci found latin america caribbean india southeast asia oceania eastern europe agent favors warm humid environments,asymptomatic fatal acute febrile illness chills headache severe myalgia mild rhabdomyolysis conjunctivitis gastrointestinal symptoms,direct contact abraded skin conjunctival mucosa urine infected animals exposure environmental sources urine deposited,multiple species spirochetal genus including leptospira interrogans,1–3 weeks,serology acute convalescent sera using microscopic agglutination test mat isolation leptospira blood csf first 10 days illness urine 2nd 3rd weeks,"['leptospirosis', 'worldwide', 'distribution', 'common', 'tropical', 'regions', 'foci', 'found', 'latin', 'america', 'caribbean', 'india', 'southeast', 'asia', 'oceania', 'eastern', 'europe', 'agent', 'favors', 'warm', 'humid', 'environments']","[('leptospirosis', 'NN'), ('worldwide', 'NN'), ('distribution', 'NN'), ('common', 'JJ'), ('tropical', 'JJ'), ('regions', 'NNS'), ('foci', 'VBP'), ('found', 'VBN'), ('latin', 'NN'), ('america', 'JJ'), ('caribbean', 'JJ'), ('india', 'NN'), ('southeast', 'NN'), ('asia', 'NN'), ('oceania', 'JJ'), ('eastern', 'JJ'), ('europe', 'NN'), ('agent', 'NN'), ('favors', 'NNS'), ('warm', 'VBP'), ('humid', 'NN'), ('environments', 'NNS')]","[Synset('swamp_fever.n.01'), None, Synset('distribution.n.01'), Synset('common.a.01'), Synset('tropical.s.01'), Synset('region.n.01'), None, Synset('establish.v.01'), Synset('latin.n.01'), None, None, Synset('india.n.01'), Synset('southeast.n.01'), Synset('asia.n.01'), None, Synset('eastern.s.01'), Synset('europe.n.01'), Synset('agent.n.01'), Synset('favor.n.01'), Synset('warm.v.01'), None, Synset('environment.n.01')]"
14,listeriosis,disease distributed worldwide majority cases attributed contaminated processed foods clinical data asia africa south america lacking lmonocytogenes found food products regions,noninvasive gi listeriosis fever muscle aches nausea diarrhea invasive listeriotic septicemia meningoencephalitis perinatal listeria meningoencephalitis headache stiff neck often absent confusion convulsions coma cfr 20–30,foodborne transplacental mother child ingestion l monocytogenes occurs commonly world wide,listeria monocytogenes,3 70 days usually 3 weeks gastroenteritis hours 10 days mean 24 hours,l monocytogenes detected blood csf microscopyculture pcr,"['disease', 'distributed', 'worldwide', 'majority', 'cases', 'attributed', 'contaminated', 'processed', 'foods', 'clinical', 'data', 'asia', 'africa', 'south', 'america', 'lacking', 'lmonocytogenes', 'found', 'food', 'products', 'regions']","[('disease', 'NN'), ('distributed', 'VBD'), ('worldwide', 'JJ'), ('majority', 'NN'), ('cases', 'NNS'), ('attributed', 'VBD'), ('contaminated', 'JJ'), ('processed', 'VBN'), ('foods', 'NNS'), ('clinical', 'JJ'), ('data', 'NNS'), ('asia', 'NN'), ('africa', 'IN'), ('south', 'JJ'), ('america', 'JJ'), ('lacking', 'VBG'), ('lmonocytogenes', 'NNS'), ('found', 'VBN'), ('food', 'NN'), ('products', 'NNS'), ('regions', 'NNS')]","[Synset('disease.n.01'), Synset('distribute.v.01'), Synset('worldwide.s.01'), Synset('majority.n.01'), Synset('case.n.01'), Synset('impute.v.01'), Synset('contaminated.a.01'), Synset('process.v.01'), Synset('food.n.01'), Synset('clinical.a.01'), Synset('data.n.01'), Synset('asia.n.01'), None, Synset('south.a.01'), None, Synset('miss.v.06'), None, Synset('establish.v.01'), Synset('food.n.01'), Synset('merchandise.n.01'), Synset('region.n.01')]"
15,lyme disease,lyme disease commonly reported vectorborne diseasein north america europe incidence increasing climate change housing wooded areas expanding populations deer small rodents may responsible increase lyme disease cases,lyme borreliosis multisystem disease affect skin heart nervous system less commonly eyes kidneys liver,tick bite blood transfusion transmission humans nymphal tick stage,spirochete borrelia burgdorferi,3–32 days mean 7–10 days em,elisa ifa confirmed igm igg western striped blot test pcr blood csf urine tissues,"['lyme', 'disease', 'commonly', 'reported', 'vectorborne', 'diseasein', 'north', 'america', 'europe', 'incidence', 'increasing', 'climate', 'change', 'housing', 'wooded', 'areas', 'expanding', 'populations', 'deer', 'small', 'rodents', 'may', 'responsible', 'increase', 'lyme', 'disease', 'cases']","[('lyme', 'JJ'), ('disease', 'NN'), ('commonly', 'RB'), ('reported', 'VBD'), ('vectorborne', 'JJ'), ('diseasein', 'NNS'), ('north', 'RB'), ('america', 'IN'), ('europe', 'NN'), ('incidence', 'NN'), ('increasing', 'VBG'), ('climate', 'NN'), ('change', 'NN'), ('housing', 'NN'), ('wooded', 'VBD'), ('areas', 'NNS'), ('expanding', 'VBG'), ('populations', 'NNS'), ('deer', 'VBP'), ('small', 'JJ'), ('rodents', 'NNS'), ('may', 'MD'), ('responsible', 'JJ'), ('increase', 'VB'), ('lyme', 'JJ'), ('disease', 'NN'), ('cases', 'NNS')]","[None, Synset('disease.n.01'), Synset('normally.r.01'), Synset('report.v.01'), None, None, Synset('north.r.01'), None, Synset('europe.n.01'), Synset('incidence.n.01'), Synset('increase.v.01'), Synset('climate.n.01'), Synset('change.n.01'), Synset('housing.n.01'), None, Synset('area.n.01'), Synset('expand.v.01'), Synset('population.n.01'), None, Synset('small.a.01'), Synset('rodent.n.01'), None, Synset('responsible.a.01'), Synset('increase.v.01'), None, Synset('disease.n.01'), Synset('case.n.01')]"
16,melioidosis,antibody prevalence humans livestock countries sporadic cases suggest human infections subclinical benign misdiagnosed underreported cases mainly sporadic reported humid areas tropics subtropics world wide mainly rainy season,range asymptomatic pulmonary consolidation mild bronchitis,breaks skin ingestion aspiration contaminated water inhalation contaminated dust,burkholderia pseudomallei formerly pseudomonas pseudomolei aerobic motile gramnegative bacillus betaproteobacteria group,1–21 days acute cases activation latent infection occurred 25 63 years exposure,isolation agent blood urine sputum pus skin lesions direct immunofluorescence serology,"['antibody', 'prevalence', 'humans', 'livestock', 'countries', 'sporadic', 'cases', 'suggest', 'human', 'infections', 'subclinical', 'benign', 'misdiagnosed', 'underreported', 'cases', 'mainly', 'sporadic', 'reported', 'humid', 'areas', 'tropics', 'subtropics', 'world', 'wide', 'mainly', 'rainy', 'season']","[('antibody', 'NN'), ('prevalence', 'NN'), ('humans', 'NNS'), ('livestock', 'JJ'), ('countries', 'NNS'), ('sporadic', 'VBP'), ('cases', 'NNS'), ('suggest', 'VBP'), ('human', 'JJ'), ('infections', 'NNS'), ('subclinical', 'JJ'), ('benign', 'NN'), ('misdiagnosed', 'VBD'), ('underreported', 'JJ'), ('cases', 'NNS'), ('mainly', 'RB'), ('sporadic', 'VBP'), ('reported', 'VBN'), ('humid', 'JJ'), ('areas', 'NNS'), ('tropics', 'NNS'), ('subtropics', 'NNS'), ('world', 'NN'), ('wide', 'JJ'), ('mainly', 'RB'), ('rainy', 'VBP'), ('season', 'NN')]","[Synset('antibody.n.01'), Synset('prevalence.n.01'), Synset('world.n.08'), None, Synset('state.n.04'), None, Synset('case.n.01'), Synset('propose.v.01'), Synset('human.a.01'), Synset('infection.n.01'), Synset('subclinical.a.01'), None, None, None, Synset('case.n.01'), Synset('chiefly.r.01'), None, Synset('report.v.01'), Synset('humid.s.01'), Synset('area.n.01'), Synset('torrid_zone.n.01'), Synset('subtropics.n.01'), Synset('universe.n.01'), Synset('wide.a.01'), Synset('chiefly.r.01'), None, Synset('season.n.01')]"
17,meningococcal meningitis,group causes highest incidence responsible large epidemics every 5–10 years belt stretches across semiarid regions subsaharan africa,classically meningococcal meningitis presents fever headache neck stiffness photophobia nausea vomiting,n meningitidis transmitted person person respiratory droplets,neisseria meningitidis,2–10 days commonly 3–4 days,gram stain microscopy cerebrospinal fluid culture pcr,"['group', 'causes', 'highest', 'incidence', 'responsible', 'large', 'epidemics', 'every', '5–10', 'years', 'belt', 'stretches', 'across', 'semiarid', 'regions', 'subsaharan', 'africa']","[('group', 'NN'), ('causes', 'VBZ'), ('highest', 'JJS'), ('incidence', 'NN'), ('responsible', 'JJ'), ('large', 'JJ'), ('epidemics', 'NNS'), ('every', 'DT'), ('5–10', 'CD'), ('years', 'NNS'), ('belt', 'VBD'), ('stretches', 'NNS'), ('across', 'IN'), ('semiarid', 'JJ'), ('regions', 'NNS'), ('subsaharan', 'VBD'), ('africa', 'NN')]","[Synset('group.n.01'), Synset('cause.v.01'), Synset('high.a.01'), Synset('incidence.n.01'), Synset('responsible.a.01'), Synset('large.a.01'), Synset('epidemic.n.01'), None, None, Synset('old_age.n.01'), Synset('belt_out.v.01'), Synset('stretch.n.01'), None, Synset('semiarid.s.01'), Synset('region.n.01'), None, Synset('africa.n.01')]"
18,noma,occurs predominantly debilitated malnourished children especially underdeveloped countries peak incidence age 1–4 years period growth retardation deprived children malnutrition concurrent infections malaria measles bad oral hygiene severe diarrhea severe necrotic ulcerative gingivitis risk factors,noma opportunistic infection evolves rapidly gingival inflammation severe mutilating orofacial gangrene,noma opportunistic infection endogenous buccal flora,oral commensal bacteria fusobacterium necrophorum f nucleatum spirochete,days weeks,none,"['occurs', 'predominantly', 'debilitated', 'malnourished', 'children', 'especially', 'underdeveloped', 'countries', 'peak', 'incidence', 'age', '1–4', 'years', 'period', 'growth', 'retardation', 'deprived', 'children', 'malnutrition', 'concurrent', 'infections', 'malaria', 'measles', 'bad', 'oral', 'hygiene', 'severe', 'diarrhea', 'severe', 'necrotic', 'ulcerative', 'gingivitis', 'risk', 'factors']","[('occurs', 'NNS'), ('predominantly', 'RB'), ('debilitated', 'VBN'), ('malnourished', 'JJ'), ('children', 'NNS'), ('especially', 'RB'), ('underdeveloped', 'JJ'), ('countries', 'NNS'), ('peak', 'VBP'), ('incidence', 'NN'), ('age', 'NN'), ('1–4', 'CD'), ('years', 'NNS'), ('period', 'NN'), ('growth', 'NN'), ('retardation', 'NN'), ('deprived', 'VBD'), ('children', 'NNS'), ('malnutrition', 'NN'), ('concurrent', 'NN'), ('infections', 'NNS'), ('malaria', 'VBP'), ('measles', 'NNS'), ('bad', 'JJ'), ('oral', 'JJ'), ('hygiene', 'NN'), ('severe', 'JJ'), ('diarrhea', 'NN'), ('severe', 'JJ'), ('necrotic', 'JJ'), ('ulcerative', 'JJ'), ('gingivitis', 'NN'), ('risk', 'NN'), ('factors', 'NNS')]","[None, Synset('predominantly.r.01'), Synset('enfeeble.v.01'), Synset('malnourished.a.01'), Synset('child.n.01'), Synset('particularly.r.01'), Synset('developing.s.01'), Synset('state.n.04'), Synset('top_out.v.03'), Synset('incidence.n.01'), Synset('age.n.01'), None, Synset('old_age.n.01'), Synset('time_period.n.01'), Synset('growth.n.01'), Synset('deceleration.n.01'), Synset('deprive.v.01'), Synset('child.n.01'), Synset('malnutrition.n.01'), None, Synset('infection.n.01'), None, Synset('measles.n.01'), Synset('bad.a.01'), Synset('oral.s.01'), Synset('hygiene.n.01'), Synset('severe.s.01'), Synset('diarrhea.n.01'), Synset('severe.s.01'), Synset('necrotic.a.01'), Synset('ulcerative.a.01'), Synset('gingivitis.n.01'), Synset('hazard.n.01'), Synset('factor.n.01')]"
19,pertussis,pertussis immunization successful reducing burden pertussis disease deaths around 150000 cases reported 2008 compared almost 2 million cases 1980,classical pertussis prodromal stage 1–2 weeks coryza mild persistent cough progresses paroxysms violent coughing interspersed inspiratory whoop stage last 4–6 weeks,direct persontoperson transmission via respiratory droplets,bordetella pertussis,average 7–10 days range 5–21 days,pcr sensitive culture,"['pertussis', 'immunization', 'successful', 'reducing', 'burden', 'pertussis', 'disease', 'deaths', 'around', '150000', 'cases', 'reported', '2008', 'compared', 'almost', '2', 'million', 'cases', '1980']","[('pertussis', 'NN'), ('immunization', 'NN'), ('successful', 'JJ'), ('reducing', 'VBG'), ('burden', 'JJ'), ('pertussis', 'NN'), ('disease', 'NN'), ('deaths', 'NNS'), ('around', 'IN'), ('150000', 'CD'), ('cases', 'NNS'), ('reported', 'VBD'), ('2008', 'CD'), ('compared', 'VBN'), ('almost', 'RB'), ('2', 'CD'), ('million', 'CD'), ('cases', 'NNS'), ('1980', 'CD')]","[Synset('whooping_cough.n.01'), Synset('immunization.n.01'), Synset('successful.a.01'), Synset('reduce.v.01'), None, Synset('whooping_cough.n.01'), Synset('disease.n.01'), Synset('death.n.01'), None, None, Synset('case.n.01'), Synset('report.v.01'), None, Synset('compare.v.01'), Synset('about.r.07'), None, None, Synset('case.n.01'), None]"
20,plague,estimated 1000–3000 human cases per year considerable underreporting underdiagnosis plague possibly common africa poor rural communities af africa live close proximity rodents widely hunted eaten plagueendemic areas,sudden onset fever chills headaches body aches sore throat vomiting nausea,flea bite bubonic form respiratory route pneumonic form,yersinia pestis,1–4 days pneumonic 2–7 days bubonic plague,serology ifa elisa rapid dipstick test culture takes 4 days,"['estimated', '1000–3000', 'human', 'cases', 'per', 'year', 'considerable', 'underreporting', 'underdiagnosis', 'plague', 'possibly', 'common', 'africa', 'poor', 'rural', 'communities', 'af', 'africa', 'live', 'close', 'proximity', 'rodents', 'widely', 'hunted', 'eaten', 'plagueendemic', 'areas']","[('estimated', 'VBN'), ('1000–3000', 'CD'), ('human', 'JJ'), ('cases', 'NNS'), ('per', 'IN'), ('year', 'NN'), ('considerable', 'JJ'), ('underreporting', 'JJ'), ('underdiagnosis', 'NN'), ('plague', 'NN'), ('possibly', 'RB'), ('common', 'JJ'), ('africa', 'NN'), ('poor', 'JJ'), ('rural', 'JJ'), ('communities', 'NNS'), ('af', 'VBP'), ('africa', 'RB'), ('live', 'VBP'), ('close', 'JJ'), ('proximity', 'NN'), ('rodents', 'NNS'), ('widely', 'RB'), ('hunted', 'VBD'), ('eaten', 'JJ'), ('plagueendemic', 'JJ'), ('areas', 'NNS')]","[Synset('estimate.v.01'), None, Synset('human.a.01'), Synset('case.n.01'), None, Synset('year.n.01'), Synset('considerable.a.01'), None, None, Synset('plague.n.01'), Synset('possibly.r.01'), Synset('common.a.01'), Synset('africa.n.01'), Synset('hapless.s.01'), Synset('rural.a.01'), Synset('community.n.01'), None, None, Synset('populate.v.01'), Synset('close.a.01'), Synset('proximity.n.01'), Synset('rodent.n.01'), Synset('widely.r.01'), Synset('hunt.v.01'), None, None, Synset('area.n.01')]"
21,pneumococcal disease,pneumoniae important cause severe pneumonia meningitis sepsis children adults risk factors severe disease older age 65 years diabetes chronic disease heart lung kidney liver alcoholism cancer hiv nonfunctioning absent spleen sickle cell disease,severe pneumonia meningitis sepsis otitis media sinusitis,direct persontoperson transmission droplet spread direct oral contact objects contaminated respiratory secretions,streptococcus pneumoniae pneumococcus,1 3 days,culture pcr pneumoniae antigen test urine,"['pneumoniae', 'important', 'cause', 'severe', 'pneumonia', 'meningitis', 'sepsis', 'children', 'adults', 'risk', 'factors', 'severe', 'disease', 'older', 'age', '65', 'years', 'diabetes', 'chronic', 'disease', 'heart', 'lung', 'kidney', 'liver', 'alcoholism', 'cancer', 'hiv', 'nonfunctioning', 'absent', 'spleen', 'sickle', 'cell', 'disease']","[('pneumoniae', 'NN'), ('important', 'JJ'), ('cause', 'NN'), ('severe', 'JJ'), ('pneumonia', 'NN'), ('meningitis', 'NN'), ('sepsis', 'NN'), ('children', 'NNS'), ('adults', 'NNS'), ('risk', 'NN'), ('factors', 'NNS'), ('severe', 'JJ'), ('disease', 'NN'), ('older', 'JJR'), ('age', 'NN'), ('65', 'CD'), ('years', 'NNS'), ('diabetes', 'VBZ'), ('chronic', 'JJ'), ('disease', 'NN'), ('heart', 'NN'), ('lung', 'NN'), ('kidney', 'NN'), ('liver', 'NN'), ('alcoholism', 'NN'), ('cancer', 'NN'), ('hiv', 'NN'), ('nonfunctioning', 'VBG'), ('absent', 'JJ'), ('spleen', 'JJ'), ('sickle', 'NN'), ('cell', 'NN'), ('disease', 'NN')]","[None, Synset('important.a.01'), Synset('cause.n.01'), Synset('severe.s.01'), Synset('pneumonia.n.01'), Synset('meningitis.n.01'), Synset('sepsis.n.01'), Synset('child.n.01'), Synset('adult.n.01'), Synset('hazard.n.01'), Synset('factor.n.01'), Synset('severe.s.01'), Synset('disease.n.01'), Synset('aged.s.01'), Synset('age.n.01'), None, Synset('old_age.n.01'), None, Synset('chronic.a.01'), Synset('disease.n.01'), Synset('heart.n.01'), Synset('lung.n.01'), Synset('kidney.n.01'), Synset('liver.n.01'), Synset('alcoholism.n.01'), Synset('cancer.n.01'), Synset('hiv.n.01'), None, Synset('absent.a.01'), None, Synset('sickle.n.01'), Synset('cell.n.01'), Synset('disease.n.01')]"
